YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
10.0,12.0,0.6,3,2.9,257,1020.0,13.7,11.1,9.1,MM,MM,MM
11.0,13.0,0.6,MM,2.9,257,1020.2,13.7,10.7,9.0,MM,MM,MM
10.0,13.0,MM,MM,MM,MM,1020.2,13.6,10.7,9.0,MM,+0.0,MM
10.0,12.0,0.5,3,2.9,251,1020.2,13.5,10.8,9.0,MM,MM,MM
10.0,12.0,MM,MM,MM,MM,1020.5,13.2,10.8,8.9,MM,MM,MM
11.0,13.0,MM,MM,MM,MM,1020.5,13.4,10.8,8.6,MM,MM,MM
11.0,13.0,0.5,3,2.8,247,1020.4,13.3,10.9,8.3,MM,MM,MM
11.0,12.0,MM,MM,MM,MM,1020.5,13.1,10.9,8.6,MM,MM,MM
10.0,12.0,MM,MM,MM,MM,1020.6,13.1,11.0,8.8,MM,+0.0,MM
10.0,12.0,0.5,3,2.9,256,1020.8,12.9,11.0,9.0,MM,MM,MM
10.0,11.0,MM,MM,MM,MM,1020.8,12.8,11.1,9.2,MM,MM,MM
10.0,12.0,0.6,MM,2.9,244,1020.6,12.6,11.0,9.3,MM,MM,MM
10.0,12.0,MM,MM,MM,MM,1020.5,12.7,11.0,9.4,MM,+0.0,MM
11.0,13.0,0.6,3,2.9,246,1020.5,12.9,11.0,9.4,MM,MM,MM
12.0,14.0,MM,MM,MM,MM,1020.5,12.9,11.0,9.4,MM,MM,MM
11.0,13.0,MM,MM,MM,MM,1020.5,12.9,11.1,9.4,MM,MM,MM
11.0,13.0,0.6,3,3.0,249,1020.4,12.8,11.0,9.7,MM,MM,MM
11.0,13.0,0.6,MM,3.0,249,1020.5,12.7,11.0,9.9,MM,MM,MM
11.0,13.0,MM,MM,MM,MM,1020.5,12.7,11.0,10.2,MM,+0.0,MM
11.0,13.0,0.7,3,3.2,261,1020.6,12.8,11.0,10.2,MM,MM,MM
11.0,12.0,MM,MM,MM,MM,1020.6,12.8,10.9,10.3,MM,MM,MM
11.0,13.0,MM,MM,MM,MM,1020.6,12.8,10.9,10.4,MM,MM,MM
11.0,13.0,0.6,MM,3.2,262,1020.8,12.7,11.0,10.4,MM,MM,MM
11.0,12.0,0.6,MM,3.2,262,1020.4,12.4,11.0,10.6,MM,MM,MM
10.0,11.0,MM,MM,MM,MM,1020.7,12.2,11.0,11.0,MM,+0.0,MM
9.0,11.0,0.5,6,3.2,268,1020.6,12.1,11.0,11.4,MM,MM,MM
9.0,10.0,MM,MM,MM,MM,1020.5,12.0,11.1,11.5,MM,MM,MM
8.0,9.0,MM,MM,MM,MM,1020.6,12.0,11.0,11.6,MM,MM,MM
8.0,9.0,0.5,6,3.2,259,1020.5,12.0,11.1,11.7,MM,MM,MM
8.0,9.0,0.5,MM,3.2,259,1020.6,12.1,11.2,11.8,MM,MM,MM
8.0,9.0,MM,MM,MM,MM,1020.6,12.1,11.3,11.8,MM,+0.8,MM
7.0,9.0,0.5,7,3.9,256,1020.5,12.2,11.5,12.0,MM,MM,MM
6.0,8.0,MM,MM,MM,MM,1020.6,12.2,11.5,12.0,MM,MM,MM
6.0,7.0,MM,MM,MM,MM,1020.5,12.2,11.4,12.0,MM,MM,MM
6.0,7.0,0.4,7,4.4,256,1020.5,12.2,11.3,12.0,MM,MM,MM
5.0,6.0,MM,MM,MM,MM,1020.5,12.2,11.4,12.0,MM,MM,MM
4.0,5.0,MM,MM,MM,MM,1020.3,12.3,11.6,12.1,MM,+0.9,MM
4.0,6.0,0.3,8,4.4,254,1020.4,12.3,11.4,12.1,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1020.4,12.3,11.3,12.1,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1020.4,12.3,11.2,12.1,MM,MM,MM
4.0,5.0,0.3,8,4.4,254,1020.2,12.4,10.9,12.2,MM,MM,MM
4.0,6.0,0.3,MM,4.4,254,1020.2,12.6,11.0,12.4,MM,MM,MM
4.0,5.0,MM,MM,MM,MM,1020.2,12.7,11.1,12.5,MM,+1.2,MM
4.0,5.0,0.3,8,4.7,162,1019.9,12.6,11.2,12.4,MM,MM,MM
4.0,4.0,MM,MM,MM,MM,1019.8,12.3,11.2,12.1,MM,MM,MM
4.0,5.0,MM,MM,MM,MM,1019.8,12.4,11.1,12.2,MM,MM,MM
4.0,5.0,0.2,MM,3.9,MM,1019.8,12.4,11.0,12.2,MM,MM,MM
4.0,5.0,MM,MM,MM,MM,1019.7,12.4,11.0,12.2,MM,MM,MM
3.0,3.0,MM,MM,MM,MM,1019.8,12.4,11.0,12.1,MM,+1.3,MM
2.0,3.0,0.2,MM,3.9,MM,1019.7,12.5,11.0,12.2,MM,MM,MM
3.0,3.0,MM,MM,MM,MM,1019.7,12.6,11.0,12.3,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1019.7,12.8,11.0,12.4,MM,MM,MM
3.0,4.0,0.2,MM,3.8,MM,1019.7,12.9,11.0,12.5,MM,MM,MM
3.0,4.0,0.2,MM,3.8,MM,1019.6,12.9,11.1,12.4,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1019.5,13.1,11.0,12.6,MM,+1.3,MM
